title,vote_average,vote_count,budget,revenue,imdb_id,id,movie_genres,release_year
All the Bright Places,7.637,2950,0,0,tt3907584,342470,"['Romance', 'Drama']",2020
Allegiant,6.107,6800,110000000,179246868,tt3410834,262504,"['Adventure', 'Science Fiction', 'Action', 'Mystery']",2016
Allied,6.8,4664,106000000,119520023,tt3640424,369885,"['Action', 'Drama', 'War', 'Romance', 'Thriller']",2016
Aloha,5.512,2110,37000000,26250020,tt1243974,222936,"['Drama', 'Comedy', 'Romance']",2015
Alpha,6.525,2651,51000000,99630675,tt4244998,399360,"['Adventure', 'Drama']",2018
Ambulance,6.636,2302,40000000,52303589,tt4998632,763285,"['Thriller', 'Action', 'Crime']",2022
American Assassin,6.411,3149,33000000,67200000,tt1961175,415842,"['Action', 'Adventure', 'Thriller']",2017
American Fiction,7.283,1209,16000000,22483370,tt23561236,1056360,"['Comedy', 'Drama']",2023
American Made,6.895,4788,50000000,133511855,tt3532216,337170,"['Action', 'Comedy', 'Crime', 'Drama']",2017
American Ultra,6.09,2876,28000000,27100000,tt3316948,261392,"['Action', 'Comedy']",2015
Amsterdam,6.063,1718,80000000,31245810,tt10304142,664469,"['Mystery', 'Comedy', 'Drama']",2022
Anatomy of a Fall,7.539,3006,6700000,35634133,tt17009710,915935,"['Thriller', 'Mystery', 'Crime']",2023
Angel Has Fallen,6.597,3722,40000000,146661977,tt6189022,423204,"['Action', 'Thriller']",2019
Anna,6.706,2856,34000000,31626978,tt7456310,484641,"['Action', 'Adventure', 'Thriller']",2019
Annabelle Comes Home,6.409,3737,27000000,231252591,tt8350360,521029,['Horror'],2019
Annabelle: Creation,6.605,5856,15000000,306592201,tt5140878,396422,['Horror'],2017
Annihilation,6.434,9077,40000000,43070915,tt2798920,300668,"['Science Fiction', 'Horror']",2018
Anora,7.0,2729,6000000,56286295,tt28607951,1064213,"['Drama', 'Comedy', 'Romance']",2024
Another Round,7.635,3576,5150000,21700000,tt10288566,580175,"['Comedy', 'Drama']",2020
Ant-Man,7.1,20422,130000000,519311965,tt0478970,102899,"['Science Fiction', 'Action', 'Adventure']",2015
Ant-Man and the Wasp,6.912,13827,140000000,622674139,tt5095030,363088,"['Action', 'Adventure', 'Science Fiction']",2018
Ant-Man and the Wasp: Quantumania,6.256,5507,200000000,476071180,tt10954600,640146,"['Action', 'Adventure', 'Science Fiction']",2023
Anyone But You,6.831,2788,25000000,214891370,tt26047818,1072790,"['Romance', 'Comedy']",2023
Apocalypse Z: The Beginning of the End,6.723,1168,0,500000,tt27599851,1118031,"['Drama', 'Action', 'Horror']",2024
Aquaman,6.872,14563,160000000,1152028393,tt1477834,297802,"['Action', 'Adventure', 'Fantasy']",2018
Aquaman and the Lost Kingdom,6.6,3268,205000000,440181226,tt9663764,572802,"['Action', 'Adventure', 'Fantasy']",2023
Argylle,6.0,1594,200000000,96221061,tt15009428,848538,"['Action', 'Adventure', 'Comedy']",2024
Army of Thieves,6.813,2178,30000000,46900000,tt13024674,796499,"['Action', 'Crime', 'Comedy']",2021
Army of the Dead,6.229,4247,90000000,190700000,tt0993840,503736,"['Crime', 'Action', 'Horror']",2021
Arrival,7.622,18712,47000000,203388186,tt2543164,329865,"['Drama', 'Science Fiction', 'Mystery']",2016
Artemis Fowl,5.535,1697,125000000,0,tt3089630,475430,"['Adventure', 'Fantasy', 'Science Fiction', 'Family', 'Action']",2020
Arthur the King,7.577,855,19000000,40829138,tt10720352,618588,"['Adventure', 'Drama']",2024
Assassin's Creed,5.429,7953,125000000,240700000,tt2094766,121856,"['Action', 'Adventure', 'Science Fiction']",2016
Asterix & Obelix: The Middle Kingdom,4.837,1119,72000000,46497678,tt11210390,643215,"['Family', 'Comedy', 'Adventure']",2023
Asteroid City,6.441,2286,25000000,53857743,tt14230388,747188,"['Comedy', 'Drama']",2023
Atlas,6.704,1454,100000000,0,tt14856980,614933,"['Science Fiction', 'Action']",2024
Atomic Blonde,6.429,6448,30000000,100014025,tt2406566,341013,"['Action', 'Adventure', 'Thriller']",2017
Ava,5.828,2674,0,2987741,tt8784956,539885,"['Action', 'Thriller', 'Crime']",2020
Avatar: The Way of Water,7.61,13043,350000000,2330224914,tt1630029,76600,"['Action', 'Adventure', 'Science Fiction']",2022
Avengers: Age of Ultron,7.271,23853,365000000,1405403694,tt2395427,99861,"['Action', 'Adventure', 'Science Fiction']",2015
Avengers: Endgame,8.237,26925,356000000,2799439100,tt4154796,299534,"['Adventure', 'Science Fiction', 'Action']",2019
Avengers: Infinity War,8.235,31137,300000000,2052415039,tt4154756,299536,"['Adventure', 'Action', 'Science Fiction']",2018
Baby Driver,7.445,16372,34000000,226945087,tt3890160,339403,"['Action', 'Crime']",2017
Babygirl,5.739,1001,20000000,60934894,tt30057084,1097549,"['Drama', 'Romance']",2024
Babylon,7.373,3532,78000000,65267446,tt10640346,615777,"['Drama', 'Comedy']",2022
Bad Boys for Life,7.127,8541,90000000,426505244,tt1502397,38700,"['Thriller', 'Action', 'Crime']",2020
Bad Boys: Ride or Die,7.346,3113,100000000,404547819,tt4919268,573435,"['Action', 'Comedy', 'Crime', 'Thriller', 'Adventure']",2024
Bad Moms,6.494,4175,20000000,183936074,tt4651520,376659,['Comedy'],2016
Bad Times at the El Royale,6.845,3739,32000000,31882724,tt6628394,446021,"['Thriller', 'Mystery', 'Crime', 'Drama']",2018
Barbarian,6.839,2958,4500000,45400000,tt15791034,913290,"['Horror', 'Thriller']",2022
Barbie,6.946,10459,145000000,1447138421,tt1517268,346698,"['Comedy', 'Adventure']",2023
Batman v Superman: Dawn of Justice,5.987,18593,250000000,874362803,tt2975590,209112,"['Action', 'Adventure', 'Fantasy']",2016
Baywatch,6.091,8323,69000000,177900000,tt1469304,339846,"['Comedy', 'Action', 'Crime']",2017
Beast,6.542,1665,0,56000000,tt13223398,760741,"['Thriller', 'Action', 'Horror', 'Adventure']",2022
Beating Hearts,7.198,917,37315205,36010728,tt27490099,959604,"['Romance', 'Crime', 'Drama']",2024
Beau Is Afraid,6.718,1225,35000000,12337378,tt13521006,798286,"['Comedy', 'Adventure', 'Fantasy']",2023
Beautiful Boy,7.552,2742,25000000,7700000,tt1226837,451915,['Drama'],2018
Beauty and the Beast,7.0,15819,160000000,1266115964,tt2771200,321612,"['Family', 'Fantasy', 'Romance']",2017
Beetlejuice Beetlejuice,6.961,2844,99000000,452000435,tt2049403,917496,"['Comedy', 'Fantasy', 'Horror']",2024
Before I Fall,6.963,3483,5000000,16373843,tt1691916,397837,"['Drama', 'Fantasy']",2017
Belfast,7.052,1610,11000000,49158343,tt12789558,777270,"['Drama', 'History']",2021
Beverly Hills Cop: Axel F,6.7,1325,150000000,0,tt3083016,280180,"['Action', 'Comedy', 'Crime']",2024
Bird Box,6.826,10302,19800000,0,tt2737304,405774,"['Horror', 'Thriller', 'Drama']",2018
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),6.9,10581,75000000,205537933,tt7713068,495764,"['Action', 'Crime']",2020
BlacKkKlansman,7.492,7865,15000000,93411426,tt7349662,487558,"['Crime', 'Comedy', 'Drama', 'History']",2018
Black Adam,6.833,6766,200000000,393452111,tt6443346,436270,"['Action', 'Adventure', 'Science Fiction']",2022
Black Mass,6.523,3487,53000000,99975678,tt1355683,261023,"['Drama', 'Crime', 'History']",2015
Black Mirror: Bandersnatch,6.763,4054,0,0,tt9495224,569547,"['Science Fiction', 'Mystery', 'Drama']",2018
Black Panther,7.4,22947,200000000,1349926083,tt1825683,284054,"['Action', 'Adventure', 'Science Fiction']",2018
Black Panther: Wakanda Forever,7.0,7101,250000000,859102154,tt9114286,505642,"['Action', 'Adventure', 'Science Fiction']",2022
Black Widow,7.188,10849,200000000,379751131,tt3480822,497698,"['Action', 'Adventure', 'Science Fiction']",2021
Blackhat,5.514,2118,70000000,17752940,tt2717822,201088,"['Crime', 'Thriller', 'Action']",2015
Blade Runner 2049,7.587,14536,150000000,259239658,tt1856101,335984,"['Science Fiction', 'Drama']",2017
Blink Twice,6.681,1667,20000000,46393906,tt14858658,840705,"['Mystery', 'Thriller']",2024
Blonde,5.929,1462,22000000,0,tt1655389,301502,['Drama'],2022
Blood Red Sky,6.813,1647,17739525,0,tt6402468,760883,"['Horror', 'Thriller', 'Action']",2021
Bloodshot,6.696,5123,42000000,39861118,tt1634106,338762,"['Action', 'Science Fiction', 'Adventure']",2020
Blue Beetle,6.659,2941,104000000,130788072,tt9362930,565770,"['Action', 'Science Fiction', 'Adventure']",2023
Bob Marley: One Love,6.647,899,70000000,180828556,tt8521778,802219,"['Music', 'History', 'Drama']",2024
Bodies Bodies Bodies,6.177,1349,3000000,13900000,tt8110652,520023,"['Horror', 'Comedy', 'Mystery']",2022
Bohemian Rhapsody,7.964,17394,52000000,910813521,tt1727824,424694,"['Music', 'Drama']",2018
Bombshell,6.784,3112,32000000,61404394,tt6394270,525661,['Drama'],2019
Bone Tomahawk,6.875,2413,1800000,475846,tt2494362,294963,"['Western', 'Horror', 'Drama']",2015
Bones and All,7.027,1518,16000000,15234907,tt10168670,791177,"['Horror', 'Romance', 'Drama']",2022
Booksmart,7.009,2751,6000000,24849029,tt1489887,505600,['Comedy'],2019
Borat Subsequent Moviefilm,6.437,2722,0,0,tt13143964,740985,['Comedy'],2020
Borderlands,5.617,1336,115000000,33017367,tt4978420,365177,"['Action', 'Science Fiction', 'Comedy']",2024
Boss Level,6.86,1784,45000000,2000000,tt7638348,513310,"['Action', 'Science Fiction', 'Thriller']",2021
Brahms: The Boy II,5.88,1270,10000000,20311536,tt9173418,555974,"['Horror', 'Mystery', 'Thriller']",2020
Bridge of Spies,7.2,7083,40000000,165478348,tt3682448,296098,"['Thriller', 'Drama']",2015
Bridget Jones's Baby,6.4,3022,35000000,211952420,tt1473832,95610,"['Drama', 'Comedy', 'Romance']",2016
Bright,6.2,5837,90000000,0,tt5519340,400106,"['Fantasy', 'Action', 'Thriller']",2017
Brightburn,6.134,3326,6000000,33224654,tt7752126,531309,"['Horror', 'Science Fiction']",2019
Brooklyn,7.31,3186,11000000,62076141,tt2381111,167073,"['Romance', 'Drama', 'History']",2015
Bullet Train,7.4,7041,90000000,239300000,tt12593682,718930,"['Action', 'Comedy', 'Thriller']",2022
Bumblebee,6.718,6431,135000000,467989645,tt4701182,424783,"['Action', 'Adventure', 'Science Fiction']",2018
Burnt,6.515,3471,20000000,36606743,tt2503944,295964,['Drama'],2015
CODA,7.903,2426,10000000,1905058,tt10366460,776503,"['Drama', 'Music', 'Romance']",2021
Call Me by Your Name,8.102,12494,3500000,43143046,tt5726616,398818,"['Romance', 'Drama']",2017
Candyman,5.999,1679,25000000,77411570,tt9347730,565028,"['Horror', 'Thriller']",2021
Captain America: Civil War,7.4,23515,250000000,1155046416,tt3498820,271110,"['Adventure', 'Action', 'Science Fiction']",2016
Captain Fantastic,7.891,6644,5000000,23123592,tt3553976,334533,"['Adventure', 'Drama']",2016
Captain Marvel,6.8,16351,152000000,1131416446,tt4154664,299537,"['Action', 'Adventure', 'Science Fiction']",2019
Carol,7.495,3851,11800000,40272135,tt2402927,258480,"['Romance', 'Drama']",2015
Carry-On,6.889,2477,47000000,0,tt21382296,1005331,"['Thriller', 'Action']",2024
Cars 3,6.855,6191,175000000,383925276,tt3606752,260514,"['Animation', 'Adventure', 'Comedy', 'Family']",2017
Central Intelligence,6.417,6174,50000000,216972543,tt1489889,302699,"['Action', 'Comedy']",2016
Challengers,6.939,2427,55000000,94182533,tt16426418,937287,"['Drama', 'Romance']",2024
Chaos Walking,6.562,2458,125000000,26508132,tt2076822,412656,"['Fantasy', 'Science Fiction', 'Adventure']",2021
Chappie,6.784,8231,49000000,104399548,tt1823672,198184,"['Crime', 'Action', 'Science Fiction']",2015
Charlie's Angels,6.4,3072,48000000,73279888,tt5033998,458897,"['Action', 'Adventure', 'Comedy']",2019
Chemical Hearts,7.319,1143,0,0,tt5843876,621013,"['Drama', 'Romance']",2020
Chip 'n Dale: Rescue Rangers,6.999,1314,70000000,623190,tt3513500,420821,"['Animation', 'Family', 'Comedy', 'Adventure', 'Mystery']",2022
Christopher Robin,7.304,2840,75000000,197744377,tt4575576,420814,"['Adventure', 'Comedy', 'Family', 'Fantasy']",2018
Cinderella,6.8,7248,95000000,543514353,tt1661199,150689,"['Romance', 'Fantasy', 'Family', 'Drama']",2015
Circle,6.014,2070,250000,0,tt3118452,335866,"['Horror', 'Science Fiction', 'Mystery', 'Thriller']",2015
Civil War,6.848,3927,50000000,126542249,tt17279496,929590,"['War', 'Action', 'Drama']",2024
Clifford the Big Red Dog,7.2,1779,64000000,107347356,tt2397461,585245,"['Family', 'Adventure', 'Comedy', 'Fantasy']",2021
Climax,7.046,2260,2900000,1696075,tt8359848,507076,"['Horror', 'Drama']",2018
Cocaine Bear,6.022,2285,32500000,88314672,tt14209916,804150,"['Thriller', 'Comedy', 'Crime']",2023
Coco,8.2,20418,175000000,814641172,tt2380307,354912,"['Family', 'Animation', 'Music', 'Adventure']",2017
Cold Pursuit,5.86,2710,60000000,76419755,tt5719748,438650,"['Action', 'Crime', 'Thriller', 'Drama', 'Comedy']",2019
Collateral Beauty,7.218,5480,36000000,88528280,tt4682786,345920,"['Drama', 'Romance']",2016
Color Out of Space,6.054,1596,6000000,1023510,tt5073642,548473,"['Horror', 'Science Fiction', 'Mystery', 'Thriller']",2020
Coming 2 America,6.368,2312,60000000,0,tt6802400,484718,['Comedy'],2021
Conclave,7.201,3003,20000000,115657988,tt20215234,974576,"['Drama', 'Thriller']",2024
Concussion,7.079,2649,35000000,50400000,tt3322364,321741,['Drama'],2015
Countdown,6.217,2227,6500000,48021766,tt10039344,599975,"['Horror', 'Thriller']",2019
Crawl,6.32,3265,13500000,91500000,tt8364368,511987,"['Horror', 'Thriller']",2019
Crazy Rich Asians,7.062,3841,30000000,238539198,tt3104988,455207,"['Comedy', 'Romance']",2018
Creed,7.407,7739,37000000,173600000,tt3076658,312221,"['Drama', 'Action']",2015
Creed II,7.033,5629,50000000,214200000,tt6343314,480530,"['Drama', 'Action']",2018
Creed III,7.1,2745,75000000,275300000,tt11145118,677179,"['Drama', 'Action']",2023
Crimson Peak,6.7,5111,55000000,74700000,tt2554274,201085,"['Horror', 'Mystery', 'Romance']",2015
Cruella,7.983,9784,200000000,233503234,tt3228774,337404,"['Comedy', 'Crime', 'Adventure']",2021
DC League of Super-Pets,7.178,1667,90000000,203000000,tt8912936,539681,"['Family', 'Comedy', 'Adventure', 'Animation', 'Science Fiction']",2022
Da 5 Bloods,6.448,1132,45000000,0,tt9777644,581859,"['War', 'Drama']",2020
Daddy's Home,6.292,3321,50000000,242786137,tt1528854,274167,['Comedy'],2015
Daddy's Home 2,6.305,2645,69000000,180613180,tt5657846,419680,['Comedy'],2017
Damsel,6.998,2588,60000000,5000,tt13452446,763215,"['Fantasy', 'Action', 'Adventure']",2024
Dark Phoenix,5.963,6845,200000000,252442974,tt6565702,320288,"['Science Fiction', 'Action', 'Adventure']",2019
Dark Waters,7.532,2377,20000000,13601384,tt9071322,552178,"['Drama', 'Thriller']",2019
Darkest Hour,7.351,5348,30000000,150847207,tt4555426,399404,"['Drama', 'History']",2017
Day Shift,6.753,2100,100000000,0,tt13314558,755566,"['Action', 'Fantasy', 'Horror', 'Comedy', 'Thriller']",2022
Deadpool,7.622,32066,58000000,782837347,tt1431045,293660,"['Action', 'Adventure', 'Comedy']",2016
Deadpool & Wolverine,7.57,7929,200000000,1338073645,tt6263850,533535,"['Action', 'Comedy', 'Science Fiction']",2024
Deadpool 2,7.489,18723,110000000,785896632,tt5463162,383498,"['Action', 'Comedy', 'Adventure']",2018
Death Note,4.265,4051,40000000,0,tt1241317,351460,"['Crime', 'Fantasy', 'Horror']",2017
Death Wish,6.203,2667,30000000,34017028,tt1137450,395990,"['Action', 'Crime', 'Thriller', 'Drama']",2018
Death on the Nile,6.422,3979,90000000,137307235,tt7657566,505026,"['Mystery', 'Crime', 'Thriller']",2022
Decision to Leave,7.335,1370,0,16914773,tt12477480,705996,"['Thriller', 'Mystery', 'Romance']",2022
Deep Water,5.817,1531,49000000,0,tt2180339,619979,"['Drama', 'Mystery', 'Thriller']",2022
Deepwater Horizon,6.886,4736,110000000,121790376,tt1860357,296524,"['Drama', 'Action']",2016
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,8.209,4313,15700000,523542183,tt11032374,635302,"['Animation', 'Action', 'Fantasy', 'Thriller']",2020
Den of Thieves,6.854,3245,30000000,80509622,tt1259528,449443,"['Crime', 'Thriller', 'Action']",2018
Descendants,7.149,2444,0,0,tt3440298,277217,"['Family', 'Adventure', 'Fantasy', 'TV Movie', 'Music']",2015
Despicable Me 3,6.466,7455,80000000,1034800131,tt3469046,324852,"['Action', 'Animation', 'Comedy', 'Family', 'Adventure']",2017
Despicable Me 4,7.015,2970,100000000,969597394,tt7510222,519182,"['Family', 'Comedy', 'Animation', 'Science Fiction']",2024
Dirty Grandpa,5.936,4500,11500000,94100000,tt1860213,291870,['Comedy'],2016
Doctor Sleep,7.143,4691,45000000,72385286,tt5606664,501170,"['Horror', 'Fantasy']",2019
Doctor Strange,7.418,22914,180000000,676343174,tt1211837,284052,"['Fantasy', 'Adventure', 'Action']",2016
Doctor Strange in the Multiverse of Madness,7.24,9872,290000000,955775804,tt9419884,453395,"['Fantasy', 'Action', 'Adventure']",2022
Dog,7.306,1694,20000000,84774243,tt11252248,626735,"['Drama', 'Comedy']",2022
Dogman,7.874,1267,0,4082217,tt17009348,944401,"['Action', 'Drama', 'Crime']",2023
Dogman,7.528,2258,0,5080147,tt6768578,483184,"['Crime', 'Drama', 'Thriller']",2018
Dolittle,6.588,3764,175000000,251410631,tt6673612,448119,"['Family', 'Comedy', 'Fantasy', 'Adventure']",2020
Don't Breathe,7.0,7760,9900000,158906350,tt4160708,300669,"['Horror', 'Thriller', 'Crime']",2016
Don't Breathe 2,7.019,2721,15000000,53785551,tt6246322,482373,"['Thriller', 'Horror']",2021
Don't Look Up,7.067,8890,75000000,791863,tt11286314,646380,"['Comedy', 'Science Fiction']",2021
Don't Move,6.335,899,0,0,tt24807110,1063877,"['Horror', 'Thriller']",2024
Don't Worry Darling,6.778,2782,35000000,86700000,tt10731256,619730,"['Science Fiction', 'Mystery', 'Thriller']",2022
Downsizing,5.387,3977,68000000,55003890,tt1389072,301337,"['Drama', 'Science Fiction', 'Comedy']",2017
Dragon Ball Super: Broly,7.903,3036,1000000,125002821,tt7961060,503314,"['Action', 'Science Fiction', 'Animation']",2018
Dragon Ball Super: Super Hero,7.887,2947,0,86600000,tt14614892,610150,"['Animation', 'Science Fiction', 'Action']",2022
Dream Scenario,6.651,1160,10000000,14114415,tt21942866,823482,"['Comedy', 'Fantasy']",2023
Dumbo,6.591,4451,170000000,353284621,tt3861390,329996,"['Family', 'Fantasy', 'Adventure']",2019
Dune,7.777,14109,165000000,407573628,tt1160419,438631,"['Science Fiction', 'Adventure']",2021
Dune: Part Two,8.132,7199,190000000,714844358,tt15239678,693134,"['Science Fiction', 'Adventure']",2024
Dungeons & Dragons: Honor Among Thieves,7.332,4231,151000000,208200000,tt2906216,493529,"['Adventure', 'Fantasy', 'Comedy']",2023
Dunkirk,7.449,17108,150000000,527000000,tt5013056,374720,"['War', 'Action', 'Drama']",2017
El Camino: A Breaking Bad Movie,7.042,5380,0,0,tt9243946,559969,"['Crime', 'Drama', 'Thriller']",2019
Elemental,7.6,5026,200000000,496444308,tt15789038,976573,"['Family', 'Fantasy', 'Comedy', 'Romance', 'Animation']",2023
Elvis,7.477,3710,85000000,288670284,tt3704428,614934,"['Drama', 'Music', 'History']",2022
Emilia Pérez,6.511,1835,26000000,16302703,tt20221436,974950,"['Drama', 'Thriller']",2024
Emma.,7.009,1862,10000000,25200000,tt9214832,556678,"['Comedy', 'Romance']",2020
Encanto,7.58,9925,150000000,261292688,tt2953050,568124,"['Animation', 'Comedy', 'Family', 'Fantasy']",2021
Enola Holmes,7.242,6321,21000000,0,tt7846844,497582,"['Adventure', 'Mystery', 'Crime']",2020
Enola Holmes 2,7.321,1635,0,0,tt14641788,829280,"['Adventure', 'Mystery', 'Crime']",2022
Escape Room,6.541,4893,9000000,155712077,tt5886046,522681,"['Horror', 'Thriller', 'Mystery']",2019
Escape Room: Tournament of Champions,6.515,2171,15000000,65774490,tt9844522,585216,"['Horror', 'Thriller', 'Mystery']",2021
Escape from Pretoria,7.186,1419,0,2431995,tt5797184,502425,"['Drama', 'History', 'Thriller']",2020
Eternals,6.792,8827,200000000,402064899,tt9032400,524434,"['Science Fiction', 'Action', 'Adventure']",2021
Eurovision Song Contest: The Story of Fire Saga,6.42,1502,0,0,tt8580274,531454,"['Comedy', 'Music']",2020
Everest,6.827,5079,55000000,203427584,tt2719848,253412,"['Adventure', 'Drama', 'History']",2015
Every Day,7.25,2272,4900000,10400000,tt7026672,465136,"['Romance', 'Fantasy']",2018
Everything Everywhere All at Once,7.728,7441,25000000,139200000,tt6710474,545611,"['Action', 'Adventure', 'Science Fiction']",2022
"Everything, Everything",7.242,3723,10000000,61621140,tt5001718,417678,"['Drama', 'Romance']",2017
Evil Dead Rise,6.923,3435,15000000,147156372,tt13345606,713704,"['Horror', 'Thriller']",2023
Expend4bles,6.09,1764,100000000,37917985,tt3291150,299054,"['Action', 'Adventure', 'Thriller']",2023
Extraction,7.304,6385,65000000,0,tt8936646,545609,"['Action', 'Thriller']",2020
Extraction 2,7.406,2713,65000000,0,tt12263384,697843,"['Action', 'Thriller', 'Crime']",2023
"Extremely Wicked, Shockingly Evil and Vile",7.0,3461,0,0,tt2481498,457799,"['Drama', 'Crime']",2019
F9,7.033,7509,200000000,726229501,tt5433138,385128,"['Action', 'Adventure', 'Crime']",2021
Fall,7.122,4316,3000000,17363261,tt15325794,985939,['Thriller'],2022
Fantastic Beasts and Where to Find Them,7.3,19331,180000000,809342332,tt3183660,259316,"['Fantasy', 'Adventure']",2016
Fantastic Beasts: The Crimes of Grindelwald,6.8,11230,200000000,654900000,tt4123430,338952,"['Fantasy', 'Adventure']",2018
Fantastic Beasts: The Secrets of Dumbledore,6.635,4882,200000000,407200000,tt4123432,338953,"['Fantasy', 'Adventure']",2022
Fantastic Four,4.4,6264,120000000,167977596,tt1502712,166424,"['Action', 'Adventure', 'Science Fiction']",2015
Fantasy Island,5.77,2569,7000000,49500000,tt0983946,539537,"['Adventure', 'Fantasy', 'Horror', 'Mystery']",2020
Fast & Furious Presents: Hobbs & Shaw,6.845,7543,200000000,760098996,tt6806448,384018,"['Action', 'Adventure', 'Comedy']",2019
Fast X,7.016,6104,340000000,704709660,tt5433140,385687,"['Action', 'Crime', 'Thriller', 'Adventure', 'Mystery']",2023
Fatherhood,7.5,1481,0,0,tt4733624,607259,"['Drama', 'Comedy']",2021
Fear Street: 1666,7.1,1897,0,0,tt9701942,591275,"['Mystery', 'Horror']",2021
Fear Street: 1978,7.188,2111,0,0,tt9701940,591274,"['Horror', 'Mystery']",2021
Fear Street: 1994,6.7,2516,0,0,tt6566576,591273,"['Horror', 'Mystery']",2021
Feel the Beat,7.57,1143,0,0,tt10714856,707886,"['Comedy', 'Music', 'Drama']",2020
Ferdinand,7.224,2998,111000000,295038508,tt3411444,364689,"['Animation', 'Family', 'Adventure', 'Comedy']",2017
